,Title,Author,Publisher,Description,Weeks on List,Date,Main Category,Subcategory
8,HOUSE OF EARTH AND BLOOD,Sarah J. Maas,Bloomsbury,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.,7,2024-01-28,FICTION,Combined Print & E-Book Fiction
9,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,62,2024-01-28,FICTION,Combined Print & E-Book Fiction
10,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,The fifth book in the Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.,7,2024-01-28,FICTION,Combined Print & E-Book Fiction
11,HOUSE OF SKY AND BREATH,Sarah J. Maas,Bloomsbury,The second book in the Crescent City series. Bryce Quinlan and Hunt Athalar must choose to fight or stay silent.,6,2024-01-28,FICTION,Combined Print & E-Book Fiction
12,TWISTED LOVE,Ana Huang,Bloom,The first book in the Twisted series. Secrets emerge when Ava explores things with her brother’s best friend.,8,2024-01-28,FICTION,Combined Print & E-Book Fiction
13,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,2,2024-01-28,FICTION,Combined Print & E-Book Fiction
14,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,119,2024-01-28,FICTION,Combined Print & E-Book Fiction
0,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",36,2024-01-28,FICTION,Hardcover Fiction
1,IRON FLAME,Rebecca Yarros,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,10,2024-01-28,FICTION,Hardcover Fiction
2,SANCTUARY OF THE SHADOW,Aurora Ascher,Red Tower,"When Harrow takes an interest in a winged beast new to the area, old enemies turn up to get their revenge on her.",1,2024-01-28,FICTION,Hardcover Fiction
3,THE HEAVEN & EARTH GROCERY STORE,James McBride,Riverhead,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.,21,2024-01-28,FICTION,Hardcover Fiction
4,FIRST LIE WINS,Ashley Elston,Pamela Dorman,A woman who works for a mysterious boss takes on a new identity to dig up information on someone.,2,2024-01-28,FICTION,Hardcover Fiction
5,"HOLMES, MARPLE & POE",James Patterson and Brian Sitts,"Little, Brown",Three private investigators working in New York City draw the attention of an N.Y.P.D. detective.,1,2024-01-28,FICTION,Hardcover Fiction
6,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,88,2024-01-28,FICTION,Hardcover Fiction
7,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,33,2024-01-28,FICTION,Hardcover Fiction
8,THE ATLAS COMPLEX,Olivie Blake,Tor,The third book in the Atlas series. The ethics of the six Society recruits are tested by the possibility of gaining limitless power.,1,2024-01-28,FICTION,Hardcover Fiction
9,THE EXCHANGE,John Grisham,Doubleday,"In a sequel to “The Firm,” Mitch McDeere, who is now a partner at the world’s largest law firm, gets caught up in a sinister plot.",13,2024-01-28,FICTION,Hardcover Fiction
10,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,63,2024-01-28,FICTION,Hardcover Fiction
11,UPSIDE DOWN,Danielle Steel,Delacorte,"When they encounter strains in their romantic relationships, a Hollywood actress and her plastic surgeon daughter seek solace in each other.",2,2024-01-28,FICTION,Hardcover Fiction
12,THE LITTLE LIAR,Mitch Albom,Harper,"The actions of an 11-year-old boy help facilitate the delivery of Jewish residents, including his family, to Auschwitz.",9,2024-01-28,FICTION,Hardcover Fiction
13,TOM LAKE,Ann Patchett,Harper,"Three daughters, who return to their family orchard in the spring of 2020, learn about their mother’s relationship with a famous actor.",21,2024-01-28,FICTION,Hardcover Fiction
14,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,51,2024-01-28,FICTION,Hardcover Fiction
0,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,48,2024-01-28,FICTION,Paperback Trade Fiction
1,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,38,2024-01-28,FICTION,Paperback Trade Fiction
2,TWISTED LOVE,Ana Huang,Bloom,The first book in the Twisted series. Secrets emerge when Ava explores things with her brother’s best friend.,31,2024-01-28,FICTION,Paperback Trade Fiction
3,A LITTLE LIFE,Hanya Yanagihara,Anchor,"Four college friends, one with a traumatic past, move to New York seeking fame and fortune.",27,2024-01-28,FICTION,Paperback Trade Fiction
4,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,123,2024-01-28,FICTION,Paperback Trade Fiction
5,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,141,2024-01-28,FICTION,Paperback Trade Fiction
6,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,149,2024-01-28,FICTION,Paperback Trade Fiction
7,ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester,Bantam,A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.,2,2024-01-28,FICTION,Paperback Trade Fiction
8,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,The fifth book in the Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.,7,2024-01-28,FICTION,Paperback Trade Fiction
9,HOUSE OF EARTH AND BLOOD,Sarah J. Maas,Bloomsbury,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.,11,2024-01-28,FICTION,Paperback Trade Fiction
10,WILDFIRE,Hannah Grace,Atria,The second book in the Maple Hills series. Two summer camp counselors who previously had a one-night stand may run afoul of the camp’s rules.,15,2024-01-28,FICTION,Paperback Trade Fiction
11,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,127,2024-01-28,FICTION,Paperback Trade Fiction
12,HOUSE OF SKY AND BREATH,Sarah J. Maas,Bloomsbury,The second book in the Crescent City series. Bryce Quinlan and Hunt Athalar must choose to fight or stay silent.,4,2024-01-28,FICTION,Paperback Trade Fiction
13,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",61,2024-01-28,FICTION,Paperback Trade Fiction
14,NEVER LIE,Freida McFadden,Poisoned Pen,A winter storm traps a pair of newlyweds in a remote manor whose previous owner mysteriously disappeared.,4,2024-01-28,FICTION,Paperback Trade Fiction
0,OATH AND HONOR,Liz Cheney,"Little, Brown",The former congresswoman from Wyoming recounts how she helped lead the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol.,6,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
1,THE BOYS IN THE BOAT,Daniel James Brown,Penguin,The story of the American rowers who pursued gold at the 1936 Berlin Olympic Games; the basis of the film.,127,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
2,KILLERS OF THE FLOWER MOON,David Grann,Doubleday,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",111,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
3,THE WAGER,David Grann,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,38,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
4,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,42,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
5,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",176,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
6,THE WOMAN IN ME,Britney Spears,Gallery,"The Grammy Award-winning pop star details her personal and professional experiences, including the years she spent under a conservatorship overseen by her father.",12,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
7,ELON MUSK,Walter Isaacson,Simon & Schuster,"The author of “The Code Breaker” traces Musk’s life and summarizes his work on electric vehicles, private space exploration and artificial intelligence.",18,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
8,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,"The late actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",27,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
9,EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,The British journalist shares stories and observations; the basis of the TV series.,8,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
10,THINK AGAIN,Adam Grant,Viking,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,23,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
11,"THE KINGDOM, THE POWER, AND THE GLORY",Tim Alberta,Harper,The author of “American Carnage” looks at divisions within the American evangelical movement.,3,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
12,PREQUEL,Rachel Maddow,Crown,The MSNBC host and co-author of “Bag Man” details a campaign to overthrow the U.S. government and install authoritarian rule prior to and during our involvement in World War II.,13,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
13,THE COMING WAVE,Mustafa Suleyman with Michael Bhaskar,Crown,A co-founder of the A.I. company DeepMind posits how new technology might affect the global order and our daily lives.,3,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
14,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,95,2024-01-28,NONFICTION,Combined Print & E-Book Nonfiction
0,OATH AND HONOR,Liz Cheney,"Little, Brown",The former congresswoman from Wyoming recounts how she helped lead the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol.,6,2024-01-28,NONFICTION,Hardcover Nonfiction
1,THE WAGER,David Grann,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,38,2024-01-28,NONFICTION,Hardcover Nonfiction
2,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,42,2024-01-28,NONFICTION,Hardcover Nonfiction
3,THE WOMAN IN ME,Britney Spears,Gallery,"The Grammy Award-winning pop star details her personal and professional experiences, including the years she spent under a conservatorship overseen by her father.",12,2024-01-28,NONFICTION,Hardcover Nonfiction
4,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,"The late actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",27,2024-01-28,NONFICTION,Hardcover Nonfiction
5,ELON MUSK,Walter Isaacson,Simon & Schuster,"The author of “The Code Breaker” traces Musk’s life and summarizes his work on electric vehicles, private space exploration and artificial intelligence.",18,2024-01-28,NONFICTION,Hardcover Nonfiction
6,"THE KINGDOM, THE POWER, AND THE GLORY",Tim Alberta,Harper,The author of “American Carnage” looks at divisions within the American evangelical movement.,4,2024-01-28,NONFICTION,Hardcover Nonfiction
7,PREQUEL,Rachel Maddow,Crown,The MSNBC host and co-author of “Bag Man” details a campaign to overthrow the U.S. government and install authoritarian rule prior to and during our involvement in World War II.,13,2024-01-28,NONFICTION,Hardcover Nonfiction
8,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,66,2024-01-28,NONFICTION,Hardcover Nonfiction
9,THE COMING WAVE,Mustafa Suleyman with Michael Bhaskar,Crown,A co-founder of the A.I. company DeepMind posits how new technology might affect the global order and our daily lives.,3,2024-01-28,NONFICTION,Hardcover Nonfiction
10,MY NAME IS BARBRA,Barbra Streisand,Viking,The EGOT winner chronicles her journey in show business and reveals details about some of her personal relationships.,10,2024-01-28,NONFICTION,Hardcover Nonfiction
11,TEDDY AND BOOKER T.,Brian Kilmeade,Sentinel,The Fox News host gives an account of the relationship between President Theodore Roosevelt and Booker T. Washington.,6,2024-01-28,NONFICTION,Hardcover Nonfiction
12,THE IN-BETWEEN,Hadley Vlahos,Ballantine,A hospice nurse shares some of her most impactful experiences and questions some of society's beliefs around end-of-life care.,15,2024-01-28,NONFICTION,Hardcover Nonfiction
13,BEING HENRY,Henry Winkler with James Kaplan,Celadon,The Emmy Award-winning actor shares how playing roles such as the Fonz and his struggles with dyslexia affected his life.,10,2024-01-28,NONFICTION,Hardcover Nonfiction
14,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Flatiron,An approach to dealing with trauma that shifts an essential question used to investigate it.,57,2024-01-28,NONFICTION,Hardcover Nonfiction
0,THE BOYS IN THE BOAT,Daniel James Brown,Penguin,The story of the American rowers who pursued gold at the 1936 Berlin Olympic Games; the basis of the film.,149,2024-01-28,NONFICTION,Paperback Nonfiction
1,KILLERS OF THE FLOWER MOON,David Grann,Vintage,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.",150,2024-01-28,NONFICTION,Paperback Nonfiction
2,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",273,2024-01-28,NONFICTION,Paperback Nonfiction
3,EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,The British journalist shares stories and observations; the basis of the TV series.,30,2024-01-28,NONFICTION,Paperback Nonfiction
4,THINK AGAIN,Adam Grant,Penguin,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,3,2024-01-28,NONFICTION,Paperback Nonfiction
5,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,196,2024-01-28,NONFICTION,Paperback Nonfiction
6,THE HUNDRED YEARS' WAR ON PALESTINE,Rashid Khalidi,Metropolitan,"An account of the history of settler colonialism and resistance, based on untapped archival materials and reports.",15,2024-01-28,NONFICTION,Paperback Nonfiction
